8 * 2 * 22 * 97 = 34144   -->solution=0
40 * 67 * 59 * 54 = 8538480   -->solution=21149604
67 * 59 * 54 * 70 = 14942340   -->solution=21149604
59 * 54 * 70 * 66 = 14719320   -->solution=21149604
54 * 70 * 66 * 18 = 4490640   -->solution=21149604
70 * 66 * 18 * 38 = 3160080   -->solution=21149604
66 * 18 * 38 * 64 = 2889216   -->solution=21149604
18 * 38 * 64 * 70 = 3064320   -->solution=21149604

67 * 26 * 20 * 68 = 2369120   -->solution=21149604
26 * 20 * 68 * 2 = 70720   -->solution=21149604
20 * 68 * 2 * 62 = 168640   -->solution=21149604
68 * 2 * 62 * 12 = 101184   -->solution=21149604
2 * 62 * 12 * 20 = 29760   -->solution=21149604
62 * 12 * 20 * 95 = 1413600   -->solution=21149604
12 * 20 * 95 * 63 = 1436400   -->solution=21149604
20 * 95 * 63 * 94 = 11251800   -->solution=21149604
95 * 63 * 94 * 39 = 21941010   -->solution=21149604
63 * 94 * 39 * 63 = 14550354   -->solution=21941010
94 * 39 * 63 * 8 = 1847664   -->solution=21941010
39 * 63 * 8 * 40 = 786240   -->solution=21941010
63 * 8 * 40 * 91 = 1834560   -->solution=21941010
8 * 40 * 91 * 66 = 1921920   -->solution=21941010
40 * 91 * 66 * 49 = 11771760   -->solution=21941010
91 * 66 * 49 * 94 = 27663636   -->solution=21941010
66 * 49 * 94 * 21 = 6383916   -->solution=27663636

24 * 55 * 58 * 5 = 382800   -->solution=27663636
55 * 58 * 5 * 66 = 1052700   -->solution=27663636
58 * 5 * 66 * 73 = 1397220   -->solution=27663636
5 * 66 * 73 * 99 = 2384910   -->solution=27663636
66 * 73 * 99 * 26 = 12401532   -->solution=27663636
73 * 99 * 26 * 97 = 18226494   -->solution=27663636
99 * 26 * 97 * 17 = 4244526   -->solution=27663636
26 * 97 * 17 * 78 = 3344172   -->solution=27663636
97 * 17 * 78 * 78 = 10032516   -->solution=27663636
17 * 78 * 78 * 96 = 9929088   -->solution=27663636
78 * 78 * 96 * 83 = 48477312   -->solution=27663636
78 * 96 * 83 * 14 = 8701056   -->solution=48477312
96 * 83 * 14 * 88 = 9816576   -->solution=48477312
83 * 14 * 88 * 34 = 3476704   -->solution=48477312
14 * 88 * 34 * 89 = 3728032   -->solution=48477312
88 * 34 * 89 * 63 = 16776144   -->solution=48477312
34 * 89 * 63 * 72 = 13725936   -->solution=48477312

21 * 36 * 23 * 9 = 156492   -->solution=48477312
36 * 23 * 9 * 75 = 558900   -->solution=48477312
23 * 9 * 75 * 0 = 0   -->solution=48477312
9 * 75 * 0 * 76 = 0   -->solution=48477312
75 * 0 * 76 * 44 = 0   -->solution=48477312
0 * 76 * 44 * 20 = 0   -->solution=48477312
76 * 44 * 20 * 45 = 3009600   -->solution=48477312
44 * 20 * 45 * 35 = 1386000   -->solution=48477312
20 * 45 * 35 * 14 = 441000   -->solution=48477312
45 * 35 * 14 * 0 = 0   -->solution=48477312
35 * 14 * 0 * 61 = 0   -->solution=48477312
14 * 0 * 61 * 33 = 0   -->solution=48477312
0 * 61 * 33 * 97 = 0   -->solution=48477312
61 * 33 * 97 * 34 = 6638874   -->solution=48477312
33 * 97 * 34 * 31 = 3373854   -->solution=48477312
97 * 34 * 31 * 33 = 3373854   -->solution=48477312
34 * 31 * 33 * 95 = 3304290   -->solution=48477312

78 * 17 * 53 * 28 = 1967784   -->solution=48477312
17 * 53 * 28 * 22 = 555016   -->solution=48477312
53 * 28 * 22 * 75 = 2448600   -->solution=48477312
28 * 22 * 75 * 31 = 1432200   -->solution=48477312
22 * 75 * 31 * 67 = 3427050   -->solution=48477312
75 * 31 * 67 * 15 = 2336625   -->solution=48477312
31 * 67 * 15 * 94 = 2928570   -->solution=48477312
67 * 15 * 94 * 3 = 283410   -->solution=48477312
15 * 94 * 3 * 80 = 338400   -->solution=48477312
94 * 3 * 80 * 4 = 90240   -->solution=48477312
3 * 80 * 4 * 62 = 59520   -->solution=48477312
80 * 4 * 62 * 16 = 317440   -->solution=48477312
4 * 62 * 16 * 14 = 55552   -->solution=48477312
62 * 16 * 14 * 9 = 124992   -->solution=48477312
16 * 14 * 9 * 53 = 106848   -->solution=48477312
14 * 9 * 53 * 56 = 373968   -->solution=48477312
9 * 53 * 56 * 92 = 2457504   -->solution=48477312

16 * 39 * 5 * 42 = 131040   -->solution=48477312
39 * 5 * 42 * 96 = 786240   -->solution=48477312
5 * 42 * 96 * 35 = 705600   -->solution=48477312
42 * 96 * 35 * 31 = 4374720   -->solution=48477312
96 * 35 * 31 * 47 = 4895520   -->solution=48477312
35 * 31 * 47 * 55 = 2804725   -->solution=48477312
31 * 47 * 55 * 58 = 4647830   -->solution=48477312
47 * 55 * 58 * 88 = 13193840   -->solution=48477312
55 * 58 * 88 * 24 = 6737280   -->solution=48477312
58 * 88 * 24 * 0 = 0   -->solution=48477312
88 * 24 * 0 * 17 = 0   -->solution=48477312
24 * 0 * 17 * 54 = 0   -->solution=48477312
0 * 17 * 54 * 24 = 0   -->solution=48477312
17 * 54 * 24 * 36 = 793152   -->solution=48477312
54 * 24 * 36 * 29 = 1353024   -->solution=48477312
24 * 36 * 29 * 85 = 2129760   -->solution=48477312
36 * 29 * 85 * 57 = 5058180   -->solution=48477312

86 * 56 * 0 * 48 = 0   -->solution=48477312
56 * 0 * 48 * 35 = 0   -->solution=48477312
0 * 48 * 35 * 71 = 0   -->solution=48477312
48 * 35 * 71 * 89 = 10615920   -->solution=48477312
35 * 71 * 89 * 7 = 1548155   -->solution=48477312
71 * 89 * 7 * 5 = 221165   -->solution=48477312
89 * 7 * 5 * 44 = 137060   -->solution=48477312
7 * 5 * 44 * 44 = 67760   -->solution=48477312
5 * 44 * 44 * 37 = 358160   -->solution=48477312
44 * 44 * 37 * 44 = 3151808   -->solution=48477312
44 * 37 * 44 * 60 = 4297920   -->solution=48477312
37 * 44 * 60 * 21 = 2051280   -->solution=48477312
44 * 60 * 21 * 58 = 3215520   -->solution=48477312
60 * 21 * 58 * 51 = 3727080   -->solution=48477312
21 * 58 * 51 * 54 = 3354372   -->solution=48477312
58 * 51 * 54 * 17 = 2715444   -->solution=48477312
51 * 54 * 17 * 58 = 2715444   -->solution=48477312

19 * 80 * 81 * 68 = 8372160   -->solution=48477312
80 * 81 * 68 * 5 = 2203200   -->solution=48477312
81 * 68 * 5 * 94 = 2588760   -->solution=48477312
68 * 5 * 94 * 47 = 1502120   -->solution=48477312
5 * 94 * 47 * 69 = 1524210   -->solution=48477312
94 * 47 * 69 * 28 = 8535576   -->solution=48477312
47 * 69 * 28 * 73 = 6628692   -->solution=48477312
69 * 28 * 73 * 92 = 12975312   -->solution=48477312
28 * 73 * 92 * 13 = 2444624   -->solution=48477312
73 * 92 * 13 * 86 = 7508488   -->solution=48477312
92 * 13 * 86 * 52 = 5348512   -->solution=48477312
13 * 86 * 52 * 17 = 988312   -->solution=48477312
86 * 52 * 17 * 77 = 5853848   -->solution=48477312
52 * 17 * 77 * 4 = 272272   -->solution=48477312
17 * 77 * 4 * 89 = 466004   -->solution=48477312
77 * 4 * 89 * 55 = 1507660   -->solution=48477312
4 * 89 * 55 * 40 = 783200   -->solution=48477312

4 * 52 * 8 * 83 = 138112   -->solution=48477312
52 * 8 * 83 * 97 = 3349216   -->solution=48477312
8 * 83 * 97 * 35 = 2254280   -->solution=48477312
83 * 97 * 35 * 99 = 27896715   -->solution=48477312
97 * 35 * 99 * 16 = 5377680   -->solution=48477312
35 * 99 * 16 * 7 = 388080   -->solution=48477312
99 * 16 * 7 * 97 = 1075536   -->solution=48477312
16 * 7 * 97 * 57 = 619248   -->solution=48477312
7 * 97 * 57 * 32 = 1238496   -->solution=48477312
97 * 57 * 32 * 16 = 2830848   -->solution=48477312
57 * 32 * 16 * 26 = 758784   -->solution=48477312
32 * 16 * 26 * 26 = 346112   -->solution=48477312
16 * 26 * 26 * 79 = 854464   -->solution=48477312
26 * 26 * 79 * 33 = 1762332   -->solution=48477312
26 * 79 * 33 * 27 = 1830114   -->solution=48477312
79 * 33 * 27 * 98 = 6898122   -->solution=48477312
33 * 27 * 98 * 66 = 5762988   -->solution=48477312

88 * 36 * 68 * 87 = 18741888   -->solution=48477312
36 * 68 * 87 * 57 = 12139632   -->solution=48477312
68 * 87 * 57 * 62 = 20907144   -->solution=48477312
87 * 57 * 62 * 20 = 6149160   -->solution=48477312
57 * 62 * 20 * 72 = 5088960   -->solution=48477312
62 * 20 * 72 * 3 = 267840   -->solution=48477312
20 * 72 * 3 * 46 = 198720   -->solution=48477312
72 * 3 * 46 * 33 = 327888   -->solution=48477312
3 * 46 * 33 * 67 = 305118   -->solution=48477312
46 * 33 * 67 * 46 = 4678476   -->solution=48477312
33 * 67 * 46 * 55 = 5593830   -->solution=48477312
67 * 46 * 55 * 12 = 2034120   -->solution=48477312
